Symbol,Company,Sector,Headquarter,Year First Added,Foundation
T,AT&T,Communication Services,Texas,1983,1885
ATO,Atmos Energy,Utilities,Texas,2019,1906
ADSK,Autodesk,Information Technology,California,1989,1982
AZO,AutoZone,Consumer Discretionary,Tennessee,1997,1979
AVB,AvalonBay Communities,Real Estate,Virginia,2007,1978
AVY,Avery Dennison,Materials,California,1987,1990
BKR,Baker Hughes,Energy,Texas,2017,2017
BALL,Ball Corporation,Materials,Colorado,1984,1880
BAC,Bank of America,Financials,North Carolina,1976,1874
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Ohio,1983,1963
BAX,Baxter International,Health Care,Illinois,1972,1931
BDX,Becton Dickinson,Health Care,New Jersey,1972,1897
WRB,Berkley,Financials,Connecticut,2019,1967
BRK.B,Berkshire Hathaway,Financials,Nebraska,2010,1839
BBY,Best Buy,Consumer Discretionary,Minnesota,1999,1966
BIO,Bio-Rad,Health Care,California,2020,1952
TECH,Bio-Techne,Health Care,Minnesota,2021,1976
BIIB,Biogen,Health Care,Massachusetts,2003,1978
BLK,BlackRock,Financials,New York,2011,1988
BK,BNY Mellon,Financials,New York,1995,1784
BA,Boeing,Industrials,Illinois,1957,1916
BKNG,Booking Holdings,Consumer Discretionary,Connecticut,2009,1996
BWA,BorgWarner,Consumer Discretionary,Michigan,2011,1880
BXP,Boston Properties,Real Estate,Massachusetts,2006,1970
BSX,Boston Scientific,Health Care,Massachusetts,1995,1979
BMY,Bristol Myers Squibb,Health Care,New York,1957,1989
AVGO,Broadcom Inc.,Information Technology,California,2014,1961
BR,Broadridge Financial Solutions,Information Technology,New York,2018,1962
BRO,Brown & Brown,Financials,Florida,2021,1939
BF.B,Brown–Forman,Consumer Staples,Kentucky,1982,1870
CHRW,C.H. Robinson,Industrials,Minnesota,2007,1905
CDNS,Cadence Design Systems,Information Technology,California,2017,1988
CZR,Caesars Entertainment,Consumer Discretionary,Nevada,2021,1973
CPT,Camden Property Trust,Real Estate,Texas,2022,1981
CPB,Campbell Soup Company,Consumer Staples,New Jersey,1957,1869
COF,Capital One,Financials,Virginia,1998,1994
CAH,Cardinal Health,Health Care,Ohio,1997,1971
KMX,CarMax,Consumer Discretionary,Virginia,2010,1993
CCL,Carnival,Consumer Discretionary,Florida,1998,1972
CARR,Carrier Global,Industrials,Florida,2020,1915
CTLT,Catalent,Health Care,New Jersey,2020,2007
CAT,Caterpillar Inc.,Industrials,Texas,1957,1925
CBOE,Cboe Global Markets,Financials,Illinois,2017,1973
CBRE,CBRE Group,Real Estate,Texas,2006,1906
CDW,CDW,Information Technology,Illinois,2019,1984
CE,Celanese,Materials,Texas,2018,1918
CNC,Centene Corporation,Health Care,Missouri,2016,1984
CNP,CenterPoint Energy,Utilities,Texas,1985,1882
CDAY,Ceridian,Information Technology,Minnesota,2021,1992
CF,CF Industries,Materials,Illinois,2008,1946
CRL,Charles River Laboratories,Health Care,Massachusetts,2021,1947
SCHW,Charles Schwab Corporation,Financials,Texas,1997,1971
CHTR,Charter Communications,Communication Services,Connecticut,2016,1993
CVX,Chevron Corporation,Energy,California,1957,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,California,2011,1993
CB,Chubb Limited,Financials,Switzerland,2010,1985
CHD,Church & Dwight,Consumer Staples,New Jersey,2015,1847
CI,Cigna,Health Care,Connecticut,1976,1982
CINF,Cincinnati Financial,Financials,Ohio,1997,1950
CTAS,Cintas,Industrials,Ohio,2001,1929
CSCO,Cisco,Information Technology,California,1993,1984
C,Citigroup,Financials,New York,1988,1998
CFG,Citizens Financial Group,Financials,Rhode Island,2016,1828
CLX,Clorox,Consumer Staples,California,1969,1913
CME,CME Group,Financials,Illinois,2006,1848
CMS,CMS Energy,Utilities,Michigan,1999,1886
KO,The Coca-Cola Company,Consumer Staples,Georgia,1957,1886
CTSH,Cognizant,Information Technology,New Jersey,2006,1994
CL,Colgate-Palmolive,Consumer Staples,New York,1957,1806
CMCSA,Comcast,Communication Services,Pennsylvania,2002,1963
CMA,Comerica,Financials,Texas,1995,1849
CAG,Conagra Brands,Consumer Staples,Illinois,1983,1919
COP,ConocoPhillips,Energy,Texas,1957,2002
ED,Consolidated Edison,Utilities,New York,0,1823
STZ,Constellation Brands,Consumer Staples,New York,2005,1945
CEG,Constellation Energy,Utilities,Maryland,2022,1999
COO,CooperCompanies,Health Care,California,2016,1958
CPRT,Copart,Industrials,Texas,2018,1982
GLW,Corning Inc.,Information Technology,New York,0,1851
CTVA,Corteva,Materials,Indiana,2019,2019
CSGP,CoStar Group,Industrials,D.C.,2022,1987
COST,Costco,Consumer Staples,Washington,1993,1976
CTRA,Coterra,Energy,Texas,2008,1989
CCI,Crown Castle,Real Estate,Texas,2012,1994
CSX,CSX,Industrials,Florida,1967,1980
CMI,Cummins,Industrials,Indiana,1965,1919
CVS,CVS Health,Health Care,Rhode Island,1957,1996
DHI,D.R. Horton,Consumer Discretionary,Texas,2005,1978
DHR,Danaher Corporation,Health Care,D.C.,0,1969
DRI,Darden Restaurants,Consumer Discretionary,Florida,0,1938
DVA,DaVita Inc.,Health Care,Colorado,2008,1979
DE,John Deere,Industrials,Illinois,1957,1837
DAL,Delta Air Lines,Industrials,Georgia,2013,1929
XRAY,Dentsply Sirona,Health Care,North Carolina,2008,1969
DVN,Devon Energy,Energy,Oklahoma,2000,1971
DXCM,Dexcom,Health Care,California,2020,1999
FANG,Diamondback Energy,Energy,Texas,2018,2007
DLR,Digital Realty,Real Estate,Texas,2016,2004
DFS,Discover Financial,Financials,Illinois,2007,1985
DISH,Dish Network,Communication Services,Colorado,2017,1980
DIS,Disney,Communication Services,California,1976,1923
DG,Dollar General,Consumer Discretionary,Tennessee,2012,1939
DLTR,Dollar Tree,Consumer Discretionary,Virginia,2011,1986
D,Dominion Energy,Utilities,Virginia,0,1983
DPZ,Domino's,Consumer Discretionary,Michigan,2020,1960
DOV,Dover Corporation,Industrials,Illinois,1985,1955
DOW,Dow Inc.,Materials,Michigan,2019,2019
DTE,DTE Energy,Utilities,Michigan,1957,1995
DUK,Duke Energy,Utilities,North Carolina,1976,1904
DD,DuPont,Materials,Delaware,2019,2017
DXC,DXC Technology,Information Technology,Virginia,2017,2017
EMN,Eastman Chemical Company,Materials,Tennessee,1994,1920
ETN,Eaton Corporation,Industrials,Ireland,0,1911
EBAY,eBay,Consumer Discretionary,California,2002,1995
ECL,Ecolab,Materials,Minnesota,1989,1923
EIX,Edison International,Utilities,California,1957,1886
EW,Edwards Lifesciences,Health Care,California,2011,1958
EA,Electronic Arts,Communication Services,California,2002,1982
ELV,Elevance Health,Health Care,Indiana,2002,1946
LLY,Eli Lilly and Company,Health Care,Indiana,1970,1876
EMR,Emerson Electric,Industrials,Missouri,1965,1890
ENPH,Enphase,Information Technology,California,2021,2006
ETR,Entergy,Utilities,Louisiana,1957,1913
EOG,EOG Resources,Energy,Texas,2000,1999
EPAM,EPAM Systems,Information Technology,Pennsylvania,2021,1993
EQT,EQT,Energy,Pennsylvania,2022,1888
EFX,Equifax,Industrials,Georgia,1997,1899
EQIX,Equinix,Real Estate,California,2015,1998
EQR,Equity Residential,Real Estate,Illinois,2001,1969
ESS,Essex Property Trust,Real Estate,California,2014,1971
EL,The Estée Lauder Companies,Consumer Staples,New York,2006,1946
ETSY,Etsy,Consumer Discretionary,New York,2020,2005
RE,Everest Re,Financials,Bermuda,2017,1973
EVRG,Evergy,Utilities,Missouri,2018,1909
ES,Eversource,Utilities,Connecticut,2009,1966
EXC,Exelon,Utilities,Illinois,1957,2000
EXPE,Expedia Group,Consumer Discretionary,Washington,2007,1996
